PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20250502,2,0110211,가락도매,11,서울,1101,서울,258,깐마늘(국산),03,깐마늘(대서),02,도매,04,상품,157000,,,20,kg,,,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,258,깐마늘(국산),03,깐마늘(대서),02,도매,05,중품,139000,,,20,kg,,,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,258,깐마늘(국산),05,깐마늘(남도),02,도매,04,상품,181000,,,20,kg,,,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,258,깐마늘(국산),05,깐마늘(남도),02,도매,05,중품,153000,,,20,kg,,,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,315,느타리버섯,01,애느타리버섯,02,도매,04,상품,7370,,,2,kg,100,g,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,315,느타리버섯,01,애느타리버섯,02,도매,05,중품,5700,,,2,kg,100,g,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,422,방울토마토,02,대추방울토마토,02,도매,04,상품,4060,,,1,kg,1,kg,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,422,방울토마토,02,대추방울토마토,02,도매,05,중품,3780,,,1,kg,1,kg,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,245,양파,00,양파,02,도매,04,상품,16600,1,kg,15,kg,1,kg,1,kg,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,245,양파,00,양파,02,도매,05,중품,14300,1,kg,15,kg,1,kg,1,kg,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,246,파,00,대파,02,도매,04,상품,1620,,,1,kg,1,kg,1,kg,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,246,파,00,대파,02,도매,05,중품,1370,,,1,kg,1,kg,1,kg,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,246,파,02,쪽파,02,도매,04,상품,3870,,,1,kg,1,kg,1,kg,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,246,파,02,쪽파,02,도매,05,중품,2750,,,1,kg,1,kg,1,kg,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,247,생강,00,국산,02,도매,04,상품,60000,,,10,kg,1,kg,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,247,생강,00,국산,02,도매,05,중품,51300,,,10,kg,1,kg,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,247,생강,01,수입,02,도매,05,중품,101000,,,10,kg,,,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,252,미나리,00,미나리,02,도매,04,상품,46600,,,7.5,kg,100,g,1,kg,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,252,미나리,00,미나리,02,도매,05,중품,38300,,,7.5,kg,100,g,1,kg,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,253,깻잎,00,깻잎,02,도매,04,상품,29700,,,2,kg,100,g,100,g,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,253,깻잎,00,깻잎,02,도매,05,중품,19000,,,2,kg,100,g,100,g,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,255,피망,00,청,02,도매,04,상품,51200,,,10,kg,100,g,100,g,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,255,피망,00,청,02,도매,05,중품,28500,,,10,kg,100,g,100,g,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,256,파프리카,00,파프리카,02,도매,04,상품,33000,,,5,kg,200,g,200,g,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,256,파프리카,00,파프리카,02,도매,05,중품,19500,,,5,kg,200,g,200,g,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,257,멜론,00,멜론,02,도매,04,상품,33800,,,8,kg,1,개,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,315,느타리버섯,00,느타리버섯,02,도매,04,상품,21600,,,2,kg,100,g,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,315,느타리버섯,00,느타리버섯,02,도매,05,중품,14800,,,2,kg,100,g,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,316,팽이버섯,00,팽이버섯,02,도매,04,상품,11800,,,5,kg,150,g,150,g,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,316,팽이버섯,00,팽이버섯,02,도매,05,중품,11000,,,5,kg,150,g,150,g,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,317,새송이버섯,00,새송이버섯,02,도매,04,상품,9500,,,2,kg,100,g,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,317,새송이버섯,00,새송이버섯,02,도매,05,중품,6870,,,2,kg,100,g,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,152,감자,04,수미(시설),02,도매,04,상품,54300,,,20,kg,100,g,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,152,감자,04,수미(시설),02,도매,05,중품,46300,,,20,kg,100,g,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,411,사과,05,후지,02,도매,04,상품,94000,15,kg,10,kg,10,개,10,개,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,242,풋고추,04,오이맛고추,02,도매,04,상품,50700,,,10,kg,100,g,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,242,풋고추,04,오이맛고추,02,도매,05,중품,24200,,,10,kg,100,g,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,411,사과,05,후지,02,도매,05,중품,83400,15,kg,10,kg,10,개,10,개,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,412,배,01,신고,02,도매,04,상품,101000,15,kg,15,kg,10,개,10,개,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,412,배,01,신고,02,도매,05,중품,81000,15,kg,15,kg,10,개,10,개,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,151,고구마,00,밤,02,도매,04,상품,34000,20,kg,10,kg,1,kg,1,kg,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,151,고구마,00,밤,02,도매,05,중품,25600,20,kg,10,kg,1,kg,1,kg,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,279,알배기배추,00,알배기배추,02,도매,04,상품,21000,,,8,kg,1,포기,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,279,알배기배추,00,알배기배추,02,도매,05,중품,15000,,,8,kg,1,포기,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,280,브로콜리,00,브로콜리(국산),02,도매,04,상품,54600,,,8,kg,1,개,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,280,브로콜리,00,브로콜리(국산),02,도매,05,중품,38000,,,8,kg,1,개,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,418,바나나,02,수입,02,도매,04,상품,33600,,,13,kg,100,g,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,418,바나나,02,수입,02,도매,05,중품,32000,,,13,kg,100,g,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,420,파인애플,02,수입,02,도매,04,상품,31600,,,12,kg,1,개,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,420,파인애플,02,수입,02,도매,05,중품,30000,,,12,kg,1,개,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,421,오렌지,03,네이블 미국,02,도매,04,상품,73700,,,18,kg,10,개,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,421,오렌지,03,네이블 미국,02,도매,05,중품,68800,,,18,kg,10,개,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,152,감자,01,수미(노지),02,도매,04,상품,43300,,,20,kg,100,g,100,g,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,611,고등어,02,냉동,02,도매,05,중품,55000,1,kg,10,kg,1,마리,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,613,갈치,02,냉동,02,도매,21,中,15000,1,kg,1,kg,1,마리,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,615,명태,02,냉동,02,도매,21,中,37000,,,20,kg,1,마리,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,152,감자,01,수미(노지),02,도매,05,중품,24600,,,20,kg,100,g,100,g,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,638,마른멸치,00,마른멸치,02,도매,28,중멸,15000,3,kg,1.5,kg,100,g,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,639,북어,01,황태,02,도매,05,중품,54600,,,10,마리,,,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,640,마른오징어,00,마른오징어,02,도매,05,중품,94300,,,20,마리,10,마리,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,641,김,00,마른김,02,도매,05,중품,10200,,,1,속,10,장,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,642,마른미역,00,마른미역,02,도매,04,상품,13300,,,1,kg,100,g,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,616,삼치,02,냉동,02,도매,21,中,6000,,,1,kg,1,마리,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,613,갈치,02,냉동,02,도매,20,大,26000,1,kg,1,kg,1,마리,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,615,명태,02,냉동,02,도매,20,大,40000,,,20,kg,1,마리,,,N,20250519123213
20250502,2,0110211,가락도매,11,서울,1101,서울,638,마른멸치,00,마른멸치,02,도매,27,대멸,19000,3,kg,1.5,kg,100,g,,,N,20250519123213
